epoch,accuracy,f1_score,get_f1,loss
0,0.7289979457855225,0.6415088772773743,0.6396840214729309,0.5453198552131653
1,0.7756557464599609,0.688381016254425,0.6846708059310913,0.4609556198120117
2,0.7875015139579773,0.7026382088661194,0.6982442140579224,0.43823006749153137
3,0.7987428903579712,0.7205902934074402,0.7169050574302673,0.4148317873477936
4,0.8119182586669922,0.7365386486053467,0.7342914342880249,0.39784765243530273
5,0.8253354430198669,0.7554572224617004,0.7506920695304871,0.38896095752716064
6,0.8234014511108398,0.7520782351493835,0.7482441663742065,0.38389310240745544
7,0.8316209316253662,0.7636173367500305,0.759843111038208,0.3676638603210449
8,0.827994704246521,0.7603968977928162,0.7567157745361328,0.3709269165992737
9,0.8432249426841736,0.7790831327438354,0.7771187424659729,0.35330477356910706
10,0.8381481766700745,0.7736258506774902,0.770609974861145,0.3547712564468384
11,0.8428623080253601,0.7811443209648132,0.7769767045974731,0.3495121896266937
12,0.8395987153053284,0.7751986384391785,0.7713087797164917,0.34842219948768616
13,0.8470929265022278,0.787929117679596,0.7836217284202576,0.3347280025482178
14,0.8451589345932007,0.7841612100601196,0.7820594906806946,0.3362921178340912
15,0.8562794923782349,0.8007369637489319,0.7947983741760254,0.32253748178482056
16,0.857246458530426,0.80207759141922,0.7999793291091919,0.3153206706047058
17,0.858455240726471,0.8039506673812866,0.801202118396759,0.3131648898124695
18,0.8623232245445251,0.8087316155433655,0.8051003813743591,0.312658429145813
19,0.8670373558998108,0.8168493509292603,0.8125815391540527,0.30628514289855957
20,0.8646198511123657,0.8140765428543091,0.8106881976127625,0.3071235418319702
21,0.8665538430213928,0.8144533038139343,0.8115494251251221,0.3050649166107178
22,0.8698174953460693,0.8202898502349854,0.8170201778411865,0.29382288455963135
23,0.8690922260284424,0.820902407169342,0.8176460266113281,0.29379427433013916
24,0.8715097308158875,0.8225074410438538,0.8184229731559753,0.2889266908168793
25,0.8764656186103821,0.8307381272315979,0.828148365020752,0.28916114568710327
26,0.8773117661476135,0.8319809436798096,0.8278203010559082,0.28266066312789917
27,0.874048113822937,0.8263907432556152,0.8225343227386475,0.2825396656990051
28,0.8782787322998047,0.8328070640563965,0.8300522565841675,0.2795915901660919
29,0.8805753588676453,0.8368015885353088,0.8331317901611328,0.2663469910621643
30,0.8814215064048767,0.8367986679077148,0.8332419395446777,0.27800294756889343
31,0.88673996925354,0.8448414206504822,0.8421366810798645,0.270012229681015
32,0.8829928636550903,0.840893566608429,0.8373668193817139,0.2666833698749542
33,0.8855312466621399,0.8429774641990662,0.8391881585121155,0.26010751724243164
34,0.8886740207672119,0.8477429151535034,0.8439696431159973,0.2562096118927002
35,0.8825093507766724,0.8385913372039795,0.8365592956542969,0.27583399415016174
36,0.8873443603515625,0.8466091156005859,0.8429322838783264,0.2570194602012634
37,0.8947177529335022,0.8563886880874634,0.8508070707321167,0.2520536184310913
38,0.8950803875923157,0.857890784740448,0.85415118932724,0.24912504851818085
39,0.9001571536064148,0.8641442060470581,0.8602625131607056,0.24291735887527466
40,0.8937507271766663,0.8559247851371765,0.8512067198753357,0.23882780969142914
41,0.8962891101837158,0.859481930732727,0.8559679388999939,0.2402144968509674
42,0.9025746583938599,0.8676079511642456,0.865867555141449,0.2346808761358261
43,0.9012449979782104,0.8659992218017578,0.8627285957336426,0.2379133403301239
44,0.8958056569099426,0.857802152633667,0.8555331230163574,0.24081967771053314
45,0.9010032415390015,0.8648732900619507,0.8612126708030701,0.23227082192897797
46,0.8976187705993652,0.8616234064102173,0.858805239200592,0.23894433677196503
47,0.9052339196205139,0.870924711227417,0.8690061569213867,0.22714225947856903
48,0.9054756164550781,0.8720125555992126,0.8694705963134766,0.22675730288028717
49,0.904266893863678,0.8705877065658569,0.8680806756019592,0.22221046686172485
