epoch,accuracy,f1_score,get_f1,loss,val_accuracy,val_f1_score,val_get_f1,val_loss
0,0.7262012958526611,0.6388994455337524,0.6333783268928528,0.5466778874397278,0.6755287051200867,0.2510457932949066,0.231754869222641,0.5874198079109192
1,0.7715321779251099,0.6792528033256531,0.6766063570976257,0.4726755917072296,0.6761329174041748,0.6798084378242493,0.6730416417121887,0.5554975867271423
2,0.7886068224906921,0.7015143036842346,0.6998464465141296,0.44034287333488464,0.791540801525116,0.7372424602508545,0.733252227306366,0.4223772883415222
3,0.7949531674385071,0.7134102582931519,0.7094306349754333,0.4189728796482086,0.8223565220832825,0.7447910904884338,0.7394171953201294,0.38485902547836304
4,0.8059836626052856,0.7278502583503723,0.7254494428634644,0.4089755117893219,0.8078550100326538,0.7601805329322815,0.754483163356781,0.3998188078403473
5,0.814445436000824,0.7396093606948853,0.7364314198493958,0.3985764682292938,0.8241691589355469,0.7560766339302063,0.7470265030860901,0.3698211908340454
6,0.8176186084747314,0.741596519947052,0.7413548231124878,0.3937215507030487,0.7939577102661133,0.7370851039886475,0.729536771774292,0.42253682017326355
7,0.8173164129257202,0.7424914240837097,0.7414867877960205,0.3826041519641876,0.825981855392456,0.7563446760177612,0.7453335523605347,0.3689780533313751
8,0.8250226378440857,0.7544524073600769,0.7489843964576721,0.38188180327415466,0.8332326412200928,0.7788457274436951,0.7745435237884521,0.3645566403865814
9,0.8244182467460632,0.7550585269927979,0.7509747743606567,0.37276673316955566,0.8362537622451782,0.7701436877250671,0.7606140971183777,0.3701620399951935
10,0.8369597792625427,0.7719293832778931,0.7710536122322083,0.3579304814338684,0.8314199447631836,0.7962011098861694,0.7897720336914062,0.3703286945819855
11,0.8390752673149109,0.7756472229957581,0.7732401490211487,0.35882100462913513,0.8525679707527161,0.7935696840286255,0.7887834310531616,0.3352452516555786
12,0.8336355686187744,0.767769992351532,0.7638837099075317,0.3576253652572632,0.8072507381439209,0.7645751237869263,0.7554897665977478,0.3901355266571045
13,0.8430039286613464,0.7834058403968811,0.7808007001876831,0.34600308537483215,0.7752265930175781,0.7562248706817627,0.7506136298179626,0.4433392286300659
14,0.8467814922332764,0.7852599620819092,0.7823517918586731,0.33947721123695374,0.8398791551589966,0.7756133675575256,0.7724205851554871,0.3535363972187042
15,0.8437594175338745,0.7828638553619385,0.7779211401939392,0.34227776527404785,0.8380664587020874,0.7452466487884521,0.7333215475082397,0.3416694104671478
16,0.8475370407104492,0.7859107851982117,0.78177410364151,0.3388572037220001,0.8658609986305237,0.8180322647094727,0.8140438795089722,0.312014102935791
17,0.8501057624816895,0.7915961742401123,0.7878586649894714,0.33778977394104004,0.8598187565803528,0.8043839335441589,0.7969729900360107,0.3318643569946289
18,0.8416439890861511,0.7804771065711975,0.7794781923294067,0.34077218174934387,0.8465256690979004,0.7883328795433044,0.7826627492904663,0.33999693393707275
19,0.8534300327301025,0.7968155741691589,0.7929675579071045,0.3278159201145172,0.8416918516159058,0.7631097435951233,0.758195161819458,0.36737149953842163
20,0.8572075963020325,0.8019278049468994,0.800554633140564,0.3189331591129303,0.8555891513824463,0.8119585514068604,0.8074737787246704,0.3427146375179291
21,0.8606829643249512,0.8070316910743713,0.8041306734085083,0.3152385652065277,0.8598187565803528,0.8010286688804626,0.7954428195953369,0.3143456280231476
22,0.8573586940765381,0.8006752133369446,0.7972403764724731,0.31640851497650146,0.8447129726409912,0.7891709208488464,0.7831910252571106,0.3409385085105896
23,0.8532789349555969,0.7961364388465881,0.7929566502571106,0.310883492231369,0.8537764549255371,0.7966381311416626,0.7916289567947388,0.3312382102012634
24,0.8608340620994568,0.8080844879150391,0.8056358098983765,0.30722862482070923,0.8138972520828247,0.7416102886199951,0.7363299131393433,0.40934309363365173
25,0.8641583323478699,0.8119634985923767,0.8085753321647644,0.3066781759262085,0.8410876393318176,0.7535140514373779,0.7446397542953491,0.3526376783847809
26,0.861438512802124,0.8071498274803162,0.80414879322052,0.3158115744590759,0.8537764549255371,0.8100466132164001,0.8087400197982788,0.3391152322292328
27,0.8661227226257324,0.8144885897636414,0.8125720024108887,0.3028178811073303,0.8549848794937134,0.7860957980155945,0.7798535823822021,0.3332612216472626
28,0.8709579706192017,0.8211138844490051,0.8187734484672546,0.2915906310081482,0.8682779669761658,0.8123919367790222,0.8094004988670349,0.30523058772087097
29,0.8655182719230652,0.8129461407661438,0.8105108141899109,0.2999494969844818,0.8495468497276306,0.7977249026298523,0.7911432981491089,0.3428809642791748
30,0.8682381510734558,0.8187858462333679,0.8167364597320557,0.29654160141944885,0.8628398776054382,0.8131682276725769,0.8129626512527466,0.3173527419567108
31,0.8788153529167175,0.833747386932373,0.8327941298484802,0.281217485666275,0.8634440898895264,0.8153589963912964,0.8121516704559326,0.3281393051147461
32,0.8813840746879578,0.8373051881790161,0.8338024616241455,0.27990034222602844,0.8622356653213501,0.8149345517158508,0.8127266764640808,0.3232695162296295
33,0.8720157146453857,0.8246734738349915,0.8202998042106628,0.28659453988075256,0.869486391544342,0.8280249834060669,0.8281162977218628,0.31155577301979065
34,0.8788153529167175,0.8342970609664917,0.8309180736541748,0.2747330069541931,0.8574017882347107,0.8065568208694458,0.8029590845108032,0.31660163402557373
35,0.8822907209396362,0.8401389718055725,0.8374952077865601,0.268160879611969,0.8332326412200928,0.7770592570304871,0.7691662311553955,0.3717880845069885
36,0.8834995627403259,0.8400741815567017,0.8365939259529114,0.27180302143096924,0.8459214568138123,0.7911543250083923,0.7836084365844727,0.353314608335495
37,0.8779087066650391,0.832503616809845,0.8291337490081787,0.27664056420326233,0.8676736950874329,0.8194553256034851,0.8161807656288147,0.31402334570884705
38,0.8899970054626465,0.8506354689598083,0.8474302887916565,0.2592974007129669,0.8537764549255371,0.792452335357666,0.786892831325531,0.33251193165779114
39,0.8872771263122559,0.8457398414611816,0.8424174785614014,0.2630680799484253,0.8332326412200928,0.7902730107307434,0.7864513993263245,0.36374297738075256
40,0.8789664506912231,0.8342639207839966,0.8318250775337219,0.2726224958896637,0.8501510620117188,0.8106865286827087,0.8059307336807251,0.34805911779403687
41,0.8838017582893372,0.842061460018158,0.8359417915344238,0.2694227993488312,0.8513595461845398,0.7973635792732239,0.7932923436164856,0.33593952655792236
42,0.8866727352142334,0.8440094590187073,0.8425918817520142,0.2542104125022888,0.8833836913108826,0.839567244052887,0.8385492563247681,0.3040580749511719
43,0.8833484649658203,0.840429425239563,0.8373172879219055,0.267006516456604,0.8743202686309814,0.8286650776863098,0.8246403336524963,0.30073732137680054
44,0.9008764028549194,0.8657383322715759,0.8642107844352722,0.24057134985923767,0.8658609986305237,0.8165284991264343,0.8141623735427856,0.30632680654525757
45,0.8924146294593811,0.8543962240219116,0.8510642647743225,0.24823236465454102,0.8628398776054382,0.8167871832847595,0.8122962713241577,0.32722583413124084
46,0.8853127956390381,0.8441153168678284,0.8415274620056152,0.2546634376049042,0.8525679707527161,0.8066555857658386,0.8010423183441162,0.34019261598587036
47,0.8949833512306213,0.8571423292160034,0.8537516593933105,0.2415882647037506,0.861027181148529,0.7953731417655945,0.7894669771194458,0.32289108633995056
48,0.8899970054626465,0.8496484160423279,0.8478374481201172,0.25411298871040344,0.8688821792602539,0.8081338405609131,0.8017773032188416,0.31395888328552246
